0 [0.0000e+00, 0.0000e+00]
100 [-9.1084e-03, -4.3523e-03]
200 [-1.6852e-02, -1.0117e-02]
300 [-2.5061e-02, -1.7192e-02]
400 [-2.2180e-02, -2.0667e-02]
500 [6.6549e-03, -1.7763e-02]
600 [4.5251e-02, -7.8846e-03]
700 [6.2927e-02, 2.9175e-02]
800 [7.5914e-02, 6.6681e-02]
900 [8.7241e-02, 9.4484e-02]
1000 [8.8145e-02, 9.4327e-02]
1100 [8.1513e-02, 7.2471e-02]
1200 [7.9676e-02, 6.8304e-02]
1300 [8.0920e-02, 7.1760e-02]
1400 [8.3637e-02, 8.0442e-02]
1500 [8.6931e-02, 9.0117e-02]
1600 [8.9918e-02, 9.5254e-02]
1700 [9.2609e-02, 9.6378e-02]
1800 [9.5521e-02, 9.7439e-02]
1900 [9.7645e-02, 9.8899e-02]
2000 [9.8304e-02, 9.9678e-02]
2100 [9.8443e-02, 9.9994e-02]
2200 [9.8487e-02, 1.0012e-01]
2300 [9.8533e-02, 1.0015e-01]
2400 [9.8600e-02, 1.0014e-01]
2500 [9.8689e-02, 1.0012e-01]
2600 [9.8790e-02, 1.0010e-01]
2700 [9.8898e-02, 1.0011e-01]
2800 [9.9008e-02, 1.0013e-01]
2900 [9.9115e-02, 1.0019e-01]
3000 [9.9218e-02, 1.0027e-01]
3100 [9.9317e-02, 1.0038e-01]
3200 [9.9409e-02, 1.0052e-01]
3300 [9.9493e-02, 1.0069e-01]
3400 [9.9576e-02, 1.0087e-01]
3500 [9.9652e-02, 1.0108e-01]
3600 [9.9724e-02, 1.0130e-01]
3700 [9.9793e-02, 1.0152e-01]
3800 [9.9859e-02, 1.0174e-01]
3900 [9.9916e-02, 1.0194e-01]
4000 [9.9960e-02, 1.0212e-01]
4100 [9.9990e-02, 1.0228e-01]
4200 [1.0000e-01, 1.0241e-01]
4300 [9.9983e-02, 1.0251e-01]
4400 [9.9954e-02, 1.0259e-01]
4500 [9.9877e-02, 1.0263e-01]
4600 [9.9794e-02, 1.0264e-01]
4700 [9.9669e-02, 1.0262e-01]
