0 [4.0000e-01, 6.0000e-01]
100 [4.0527e-01, 5.9695e-01]
200 [3.9070e-01, 6.1009e-01]
300 [3.7095e-01, 6.2468e-01]
400 [3.5372e-01, 6.3174e-01]
500 [3.6216e-01, 6.4584e-01]
600 [3.7217e-01, 6.4531e-01]
700 [3.8184e-01, 6.2439e-01]
800 [4.0870e-01, 6.1542e-01]
900 [4.3057e-01, 6.1278e-01]
1000 [4.4374e-01, 6.0869e-01]
1100 [4.5373e-01, 6.0228e-01]
1200 [4.6319e-01, 5.9352e-01]
1300 [4.7023e-01, 5.8348e-01]
1400 [4.7479e-01, 5.7146e-01]
1500 [4.7880e-01, 5.5712e-01]
1600 [4.8474e-01, 5.4207e-01]
1700 [4.9251e-01, 5.2774e-01]
1800 [4.9965e-01, 5.1473e-01]
1900 [5.0528e-01, 5.0367e-01]
2000 [5.0960e-01, 4.9481e-01]
2100 [5.1242e-01, 4.8807e-01]
2200 [5.1364e-01, 4.8311e-01]
2300 [5.1408e-01, 4.7890e-01]
2400 [5.1611e-01, 4.7281e-01]
2500 [5.2210e-01, 4.6474e-01]
2600 [5.2671e-01, 4.5598e-01]
2700 [5.3059e-01, 4.4339e-01]
2800 [5.2500e-01, 4.4146e-01]
2900 [5.1743e-01, 4.4859e-01]
3000 [5.1122e-01, 4.5826e-01]
3100 [5.0710e-01, 4.6700e-01]
3200 [5.0444e-01, 4.7392e-01]
3300 [5.0263e-01, 4.7862e-01]
3400 [5.0119e-01, 4.8172e-01]
3500 [4.9990e-01, 4.8407e-01]
3600 [4.9863e-01, 4.8619e-01]
3700 [4.9740e-01, 4.8820e-01]
3800 [4.9623e-01, 4.8986e-01]
3900 [4.9514e-01, 4.9107e-01]
4000 [4.9417e-01, 4.9188e-01]
4100 [4.9333e-01, 4.9241e-01]
4200 [4.9264e-01, 4.9276e-01]
4300 [4.9211e-01, 4.9298e-01]
4400 [4.9169e-01, 4.9310e-01]
4500 [4.9137e-01, 4.9318e-01]
4600 [4.9111e-01, 4.9322e-01]
4700 [4.9089e-01, 4.9326e-01]
4800 [4.9071e-01, 4.9330e-01]
4900 [4.9054e-01, 4.9333e-01]
5000 [4.9040e-01, 4.9336e-01]
5100 [4.9027e-01, 4.9340e-01]
5200 [4.9016e-01, 4.9344e-01]
5300 [4.9005e-01, 4.9347e-01]
5400 [4.8997e-01, 4.9350e-01]
5500 [4.8990e-01, 4.9353e-01]
5600 [4.8984e-01, 4.9355e-01]
5700 [4.8979e-01, 4.9357e-01]
5800 [4.8975e-01, 4.9359e-01]
5900 [4.8971e-01, 4.9361e-01]
6000 [4.8969e-01, 4.9363e-01]
6100 [4.8967e-01, 4.9364e-01]
6200 [4.8965e-01, 4.9366e-01]
6300 [4.8965e-01, 4.9367e-01]
6400 [4.8964e-01, 4.9369e-01]
6500 [4.8964e-01, 4.9369e-01]
6600 [4.8965e-01, 4.9372e-01]
6700 [4.8966e-01, 4.9373e-01]
6800 [4.8966e-01, 4.9373e-01]
6900 [4.8969e-01, 4.9377e-01]
7000 [4.8971e-01, 4.9379e-01]
7100 [4.8973e-01, 4.9381e-01]
7200 [4.8977e-01, 4.9382e-01]
7300 [4.8978e-01, 4.9386e-01]
7400 [4.8981e-01, 4.9389e-01]
7500 [4.8984e-01, 4.9393e-01]
7600 [4.8988e-01, 4.9396e-01]
7700 [4.8991e-01, 4.9401e-01]
7800 [4.8994e-01, 4.9405e-01]
7900 [4.8998e-01, 4.9410e-01]
8000 [4.9001e-01, 4.9415e-01]
8100 [4.9004e-01, 4.9421e-01]
8200 [4.9008e-01, 4.9427e-01]
8300 [4.9011e-01, 4.9433e-01]
8400 [4.9015e-01, 4.9440e-01]
8500 [4.9019e-01, 4.9447e-01]
8600 [4.9022e-01, 4.9455e-01]
8700 [4.9026e-01, 4.9463e-01]
8800 [4.9029e-01, 4.9472e-01]
8900 [4.9033e-01, 4.9480e-01]
9000 [4.9036e-01, 4.9489e-01]
9100 [4.9041e-01, 4.9498e-01]
9200 [4.9045e-01, 4.9507e-01]
9300 [4.9048e-01, 4.9517e-01]
9400 [4.9051e-01, 4.9525e-01]
9500 [4.9056e-01, 4.9535e-01]
9600 [4.9062e-01, 4.9544e-01]
9700 [4.9065e-01, 4.9553e-01]
9800 [4.9069e-01, 4.9563e-01]
9900 [4.9073e-01, 4.9571e-01]
10000 [4.9078e-01, 4.9580e-01]
10100 [4.9080e-01, 4.9589e-01]
10200 [4.9086e-01, 4.9599e-01]
10300 [4.9091e-01, 4.9607e-01]
10400 [4.9094e-01, 4.9616e-01]
10500 [4.9097e-01, 4.9623e-01]
10600 [4.9101e-01, 4.9633e-01]
10700 [4.9106e-01, 4.9639e-01]
10800 [4.9109e-01, 4.9646e-01]
10900 [4.9113e-01, 4.9653e-01]
11000 [4.9117e-01, 4.9659e-01]
11100 [4.9120e-01, 4.9666e-01]
11200 [4.9124e-01, 4.9672e-01]
11300 [4.9126e-01, 4.9677e-01]
11400 [4.9130e-01, 4.9683e-01]
11500 [4.9133e-01, 4.9688e-01]
11600 [4.9136e-01, 4.9694e-01]
11700 [4.9139e-01, 4.9698e-01]
11800 [4.9141e-01, 4.9702e-01]
11900 [4.9142e-01, 4.9707e-01]
12000 [4.9147e-01, 4.9711e-01]
12100 [4.9149e-01, 4.9715e-01]
12200 [4.9152e-01, 4.9719e-01]
12300 [4.9156e-01, 4.9723e-01]
12400 [4.9158e-01, 4.9726e-01]
12500 [4.9159e-01, 4.9729e-01]
12600 [4.9162e-01, 4.9731e-01]
12700 [4.9162e-01, 4.9733e-01]
12800 [4.9166e-01, 4.9738e-01]
12900 [4.9168e-01, 4.9741e-01]
13000 [4.9171e-01, 4.9742e-01]
13100 [4.9173e-01, 4.9746e-01]
13200 [4.9175e-01, 4.9748e-01]
13300 [4.9177e-01, 4.9751e-01]
13400 [4.9180e-01, 4.9753e-01]
13500 [4.9182e-01, 4.9756e-01]
13600 [4.9184e-01, 4.9758e-01]
13700 [4.9184e-01, 4.9759e-01]
13800 [4.9188e-01, 4.9762e-01]
13900 [4.9190e-01, 4.9764e-01]
14000 [4.9193e-01, 4.9766e-01]
14100 [4.9194e-01, 4.9768e-01]
14200 [4.9196e-01, 4.9770e-01]
14300 [4.9198e-01, 4.9773e-01]
14400 [4.9201e-01, 4.9774e-01]
14500 [4.9202e-01, 4.9775e-01]
14600 [4.9205e-01, 4.9777e-01]
14700 [4.9207e-01, 4.9779e-01]
14800 [4.9209e-01, 4.9781e-01]
14900 [4.9210e-01, 4.9784e-01]
15000 [4.9213e-01, 4.9785e-01]
15100 [4.9214e-01, 4.9785e-01]
15200 [4.9216e-01, 4.9787e-01]
15300 [4.9218e-01, 4.9789e-01]
15400 [4.9220e-01, 4.9789e-01]
15500 [4.9222e-01, 4.9791e-01]
15600 [4.9224e-01, 4.9792e-01]
15700 [4.9226e-01, 4.9790e-01]
15800 [4.9229e-01, 4.9796e-01]
15900 [4.9229e-01, 4.9796e-01]
16000 [4.9232e-01, 4.9799e-01]
16100 [4.9233e-01, 4.9798e-01]
16200 [4.9235e-01, 4.9799e-01]
16300 [4.9236e-01, 4.9800e-01]
16400 [4.9238e-01, 4.9801e-01]
16500 [4.9239e-01, 4.9802e-01]
16600 [4.9242e-01, 4.9803e-01]
16700 [4.9243e-01, 4.9804e-01]
16800 [4.9244e-01, 4.9805e-01]
16900 [4.9247e-01, 4.9806e-01]
17000 [4.9248e-01, 4.9807e-01]
17100 [4.9249e-01, 4.9807e-01]
17200 [4.9251e-01, 4.9809e-01]
17300 [4.9252e-01, 4.9809e-01]
17400 [4.9254e-01, 4.9810e-01]
17500 [4.9256e-01, 4.9811e-01]
17600 [4.9259e-01, 4.9812e-01]
17700 [4.9258e-01, 4.9812e-01]
17800 [4.9260e-01, 4.9812e-01]
17900 [4.9261e-01, 4.9814e-01]
18000 [4.9263e-01, 4.9814e-01]
18100 [4.9264e-01, 4.9815e-01]
18200 [4.9266e-01, 4.9812e-01]
18300 [4.9264e-01, 4.9816e-01]
18400 [4.9268e-01, 4.9817e-01]
18500 [4.9270e-01, 4.9818e-01]
18600 [4.9271e-01, 4.9818e-01]
18700 [4.9274e-01, 4.9821e-01]
18800 [4.9274e-01, 4.9819e-01]
18900 [4.9275e-01, 4.9820e-01]
19000 [4.9275e-01, 4.9822e-01]
19100 [4.9278e-01, 4.9821e-01]
19200 [4.9279e-01, 4.9821e-01]
19300 [4.9280e-01, 4.9822e-01]
19400 [4.9281e-01, 4.9822e-01]
19500 [4.9283e-01, 4.9823e-01]
19600 [4.9285e-01, 4.9825e-01]
19700 [4.9286e-01, 4.9823e-01]
19800 [4.9288e-01, 4.9825e-01]
19900 [4.9288e-01, 4.9825e-01]
20000 [4.9290e-01, 4.9827e-01]
20100 [4.9290e-01, 4.9826e-01]
20200 [4.9291e-01, 4.9826e-01]
20300 [4.9292e-01, 4.9827e-01]
20400 [4.9293e-01, 4.9827e-01]
20500 [4.9295e-01, 4.9827e-01]
20600 [4.9296e-01, 4.9828e-01]
20700 [4.9297e-01, 4.9828e-01]
20800 [4.9298e-01, 4.9829e-01]
20900 [4.9299e-01, 4.9829e-01]
21000 [4.9300e-01, 4.9829e-01]
21100 [4.9301e-01, 4.9829e-01]
21200 [4.9302e-01, 4.9830e-01]
21300 [4.9302e-01, 4.9831e-01]
21400 [4.9304e-01, 4.9830e-01]
21500 [4.9305e-01, 4.9831e-01]
21600 [4.9306e-01, 4.9831e-01]
21700 [4.9307e-01, 4.9831e-01]
21800 [4.9308e-01, 4.9832e-01]
21900 [4.9309e-01, 4.9833e-01]
22000 [4.9308e-01, 4.9833e-01]
22100 [4.9311e-01, 4.9833e-01]
22200 [4.9312e-01, 4.9833e-01]
22300 [4.9314e-01, 4.9834e-01]
22400 [4.9314e-01, 4.9833e-01]
22500 [4.9314e-01, 4.9834e-01]
22600 [4.9315e-01, 4.9834e-01]
22700 [4.9318e-01, 4.9835e-01]
22800 [4.9317e-01, 4.9834e-01]
22900 [4.9319e-01, 4.9835e-01]
23000 [4.9318e-01, 4.9833e-01]
23100 [4.9320e-01, 4.9835e-01]
23200 [4.9320e-01, 4.9835e-01]
23300 [4.9321e-01, 4.9836e-01]
23400 [4.9322e-01, 4.9835e-01]
23500 [4.9324e-01, 4.9837e-01]
23600 [4.9323e-01, 4.9836e-01]
23700 [4.9324e-01, 4.9837e-01]
23800 [4.9324e-01, 4.9837e-01]
23900 [4.9327e-01, 4.9839e-01]
24000 [4.9326e-01, 4.9837e-01]
24100 [4.9326e-01, 4.9838e-01]
24200 [4.9327e-01, 4.9838e-01]
24300 [4.9328e-01, 4.9838e-01]
24400 [4.9329e-01, 4.9836e-01]
24500 [4.9329e-01, 4.9839e-01]
24600 [4.9330e-01, 4.9839e-01]
24700 [4.9330e-01, 4.9841e-01]
24800 [4.9331e-01, 4.9840e-01]
24900 [4.9333e-01, 4.9841e-01]
25000 [4.9332e-01, 4.9840e-01]
25100 [4.9333e-01, 4.9840e-01]
25200 [4.9333e-01, 4.9840e-01]
25300 [4.9334e-01, 4.9841e-01]
25400 [4.9334e-01, 4.9841e-01]
25500 [4.9335e-01, 4.9841e-01]
25600 [4.9335e-01, 4.9842e-01]
25700 [4.9336e-01, 4.9842e-01]
25800 [4.9336e-01, 4.9842e-01]
25900 [4.9336e-01, 4.9838e-01]
26000 [4.9338e-01, 4.9844e-01]
26100 [4.9338e-01, 4.9843e-01]
26200 [4.9338e-01, 4.9843e-01]
26300 [4.9339e-01, 4.9843e-01]
26400 [4.9336e-01, 4.9844e-01]
26500 [4.9339e-01, 4.9844e-01]
26600 [4.9340e-01, 4.9844e-01]
26700 [4.9340e-01, 4.9845e-01]
26800 [4.9340e-01, 4.9841e-01]
26900 [4.9338e-01, 4.9845e-01]
27000 [4.9341e-01, 4.9846e-01]
27100 [4.9341e-01, 4.9846e-01]
27200 [4.9343e-01, 4.9846e-01]
27300 [4.9342e-01, 4.9847e-01]
27400 [4.9343e-01, 4.9847e-01]
27500 [4.9342e-01, 4.9848e-01]
27600 [4.9343e-01, 4.9848e-01]
27700 [4.9343e-01, 4.9848e-01]
27800 [4.9344e-01, 4.9848e-01]
27900 [4.9345e-01, 4.9848e-01]
28000 [4.9345e-01, 4.9849e-01]
28100 [4.9345e-01, 4.9849e-01]
28200 [4.9345e-01, 4.9850e-01]
28300 [4.9345e-01, 4.9846e-01]
28400 [4.9346e-01, 4.9851e-01]
28500 [4.9346e-01, 4.9851e-01]
28600 [4.9343e-01, 4.9851e-01]
28700 [4.9347e-01, 4.9852e-01]
28800 [4.9347e-01, 4.9852e-01]
28900 [4.9347e-01, 4.9852e-01]
29000 [4.9347e-01, 4.9853e-01]
29100 [4.9347e-01, 4.9853e-01]
29200 [4.9348e-01, 4.9853e-01]
29300 [4.9349e-01, 4.9854e-01]
29400 [4.9345e-01, 4.9854e-01]
29500 [4.9348e-01, 4.9855e-01]
29600 [4.9348e-01, 4.9855e-01]
29700 [4.9349e-01, 4.9857e-01]
29800 [4.9349e-01, 4.9856e-01]
29900 [4.9349e-01, 4.9856e-01]
30000 [4.9349e-01, 4.9857e-01]
30100 [4.9349e-01, 4.9857e-01]
30200 [4.9349e-01, 4.9858e-01]
30300 [4.9349e-01, 4.9857e-01]
30400 [4.9350e-01, 4.9859e-01]
30500 [4.9348e-01, 4.9858e-01]
30600 [4.9349e-01, 4.9860e-01]
30700 [4.9350e-01, 4.9859e-01]
30800 [4.9350e-01, 4.9860e-01]
30900 [4.9351e-01, 4.9860e-01]
31000 [4.9350e-01, 4.9861e-01]
31100 [4.9350e-01, 4.9862e-01]
31200 [4.9350e-01, 4.9862e-01]
31300 [4.9350e-01, 4.9862e-01]
31400 [4.9350e-01, 4.9862e-01]
31500 [4.9350e-01, 4.9863e-01]
31600 [4.9350e-01, 4.9863e-01]
31700 [4.9350e-01, 4.9864e-01]
31800 [4.9350e-01, 4.9863e-01]
31900 [4.9350e-01, 4.9864e-01]
32000 [4.9350e-01, 4.9865e-01]
32100 [4.9351e-01, 4.9866e-01]
32200 [4.9350e-01, 4.9866e-01]
32300 [4.9351e-01, 4.9865e-01]
32400 [4.9351e-01, 4.9867e-01]
32500 [4.9350e-01, 4.9867e-01]
32600 [4.9350e-01, 4.9868e-01]
32700 [4.9351e-01, 4.9867e-01]
32800 [4.9351e-01, 4.9870e-01]
32900 [4.9350e-01, 4.9868e-01]
33000 [4.9352e-01, 4.9870e-01]
33100 [4.9350e-01, 4.9869e-01]
33200 [4.9350e-01, 4.9869e-01]
33300 [4.9351e-01, 4.9872e-01]
33400 [4.9350e-01, 4.9870e-01]
33500 [4.9350e-01, 4.9870e-01]
33600 [4.9351e-01, 4.9871e-01]
33700 [4.9350e-01, 4.9871e-01]
33800 [4.9350e-01, 4.9872e-01]
33900 [4.9350e-01, 4.9872e-01]
34000 [4.9350e-01, 4.9873e-01]
34100 [4.9347e-01, 4.9873e-01]
34200 [4.9350e-01, 4.9873e-01]
34300 [4.9350e-01, 4.9874e-01]
34400 [4.9349e-01, 4.9874e-01]
34500 [4.9350e-01, 4.9874e-01]
34600 [4.9349e-01, 4.9875e-01]
34700 [4.9349e-01, 4.9875e-01]
34800 [4.9346e-01, 4.9877e-01]
34900 [4.9349e-01, 4.9876e-01]
35000 [4.9350e-01, 4.9876e-01]
35100 [4.9349e-01, 4.9877e-01]
35200 [4.9349e-01, 4.9877e-01]
35300 [4.9350e-01, 4.9878e-01]
35400 [4.9349e-01, 4.9878e-01]
35500 [4.9349e-01, 4.9878e-01]
35600 [4.9349e-01, 4.9879e-01]
35700 [4.9349e-01, 4.9880e-01]
35800 [4.9349e-01, 4.9879e-01]
35900 [4.9349e-01, 4.9876e-01]
36000 [4.9348e-01, 4.9880e-01]
36100 [4.9348e-01, 4.9880e-01]
36200 [4.9348e-01, 4.9880e-01]
36300 [4.9348e-01, 4.9881e-01]
36400 [4.9348e-01, 4.9881e-01]
36500 [4.9348e-01, 4.9881e-01]
36600 [4.9347e-01, 4.9882e-01]
36700 [4.9348e-01, 4.9882e-01]
36800 [4.9348e-01, 4.9882e-01]
36900 [4.9347e-01, 4.9883e-01]
37000 [4.9347e-01, 4.9878e-01]
37100 [4.9347e-01, 4.9883e-01]
37200 [4.9347e-01, 4.9883e-01]
37300 [4.9347e-01, 4.9884e-01]
37400 [4.9347e-01, 4.9884e-01]
37500 [4.9346e-01, 4.9884e-01]
37600 [4.9343e-01, 4.9885e-01]
37700 [4.9346e-01, 4.9885e-01]
37800 [4.9346e-01, 4.9885e-01]
37900 [4.9346e-01, 4.9885e-01]
38000 [4.9346e-01, 4.9886e-01]
38100 [4.9346e-01, 4.9886e-01]
38200 [4.9346e-01, 4.9886e-01]
38300 [4.9345e-01, 4.9887e-01]
38400 [4.9345e-01, 4.9887e-01]
38500 [4.9345e-01, 4.9887e-01]
38600 [4.9346e-01, 4.9888e-01]
38700 [4.9346e-01, 4.9887e-01]
38800 [4.9345e-01, 4.9888e-01]
38900 [4.9343e-01, 4.9888e-01]
39000 [4.9344e-01, 4.9888e-01]
39100 [4.9344e-01, 4.9889e-01]
39200 [4.9345e-01, 4.9889e-01]
39300 [4.9343e-01, 4.9890e-01]
39400 [4.9344e-01, 4.9889e-01]
39500 [4.9343e-01, 4.9890e-01]
39600 [4.9343e-01, 4.9890e-01]
39700 [4.9342e-01, 4.9892e-01]
39800 [4.9343e-01, 4.9891e-01]
39900 [4.9344e-01, 4.9890e-01]
40000 [4.9343e-01, 4.9891e-01]
40100 [4.9343e-01, 4.9891e-01]
40200 [4.9343e-01, 4.9891e-01]
40300 [4.9343e-01, 4.9892e-01]
40400 [4.9343e-01, 4.9892e-01]
40500 [4.9343e-01, 4.9892e-01]
40600 [4.9343e-01, 4.9892e-01]
40700 [4.9343e-01, 4.9893e-01]
40800 [4.9343e-01, 4.9893e-01]
40900 [4.9342e-01, 4.9893e-01]
41000 [4.9342e-01, 4.9893e-01]
41100 [4.9342e-01, 4.9893e-01]
41200 [4.9342e-01, 4.9894e-01]
41300 [4.9341e-01, 4.9893e-01]
41400 [4.9342e-01, 4.9894e-01]
41500 [4.9342e-01, 4.9894e-01]
41600 [4.9341e-01, 4.9894e-01]
41700 [4.9341e-01, 4.9895e-01]
41800 [4.9341e-01, 4.9895e-01]
41900 [4.9341e-01, 4.9895e-01]
42000 [4.9340e-01, 4.9895e-01]
42100 [4.9341e-01, 4.9895e-01]
42200 [4.9341e-01, 4.9896e-01]
42300 [4.9341e-01, 4.9895e-01]
42400 [4.9339e-01, 4.9898e-01]
42500 [4.9340e-01, 4.9896e-01]
42600 [4.9340e-01, 4.9895e-01]
42700 [4.9337e-01, 4.9896e-01]
42800 [4.9340e-01, 4.9896e-01]
42900 [4.9342e-01, 4.9898e-01]
43000 [4.9340e-01, 4.9897e-01]
43100 [4.9340e-01, 4.9896e-01]
43200 [4.9340e-01, 4.9897e-01]
43300 [4.9340e-01, 4.9897e-01]
43400 [4.9340e-01, 4.9898e-01]
43500 [4.9340e-01, 4.9897e-01]
43600 [4.9340e-01, 4.9898e-01]
43700 [4.9340e-01, 4.9900e-01]
43800 [4.9339e-01, 4.9894e-01]
43900 [4.9336e-01, 4.9901e-01]
44000 [4.9339e-01, 4.9898e-01]
44100 [4.9338e-01, 4.9898e-01]
44200 [4.9340e-01, 4.9900e-01]
44300 [4.9339e-01, 4.9899e-01]
44400 [4.9341e-01, 4.9902e-01]
44500 [4.9339e-01, 4.9899e-01]
44600 [4.9339e-01, 4.9898e-01]
44700 [4.9339e-01, 4.9899e-01]
44800 [4.9338e-01, 4.9900e-01]
44900 [4.9339e-01, 4.9900e-01]
45000 [4.9339e-01, 4.9900e-01]
45100 [4.9339e-01, 4.9900e-01]
