0 [1.0000e-01, 1.1000e+00]
100 [2.2201e-01, 1.2910e+00]
200 [6.6184e-01, 1.6307e+00]
300 [1.0509e+00, 1.8242e+00]
400 [1.2534e+00, 1.9386e+00]
500 [1.4102e+00, 2.0292e+00]
600 [1.4971e+00, 2.1021e+00]
700 [1.5608e+00, 2.1672e+00]
800 [1.6049e+00, 2.2286e+00]
900 [1.6419e+00, 2.2845e+00]
1000 [1.6313e+00, 2.3459e+00]
1100 [1.6626e+00, 2.3998e+00]
1200 [1.6789e+00, 2.4542e+00]
1300 [1.6771e+00, 2.5095e+00]
1400 [1.6819e+00, 2.5648e+00]
1500 [1.6924e+00, 2.6196e+00]
1600 [1.6719e+00, 2.6807e+00]
1700 [1.6726e+00, 2.7362e+00]
1800 [1.6856e+00, 2.7932e+00]
1900 [1.6557e+00, 2.8529e+00]
2000 [1.6611e+00, 2.9103e+00]
2100 [1.6281e+00, 2.9699e+00]
2200 [1.6074e+00, 3.0303e+00]
2300 [1.5899e+00, 3.0917e+00]
2400 [1.5690e+00, 3.1540e+00]
2500 [1.5481e+00, 3.2176e+00]
2600 [1.4742e+00, 3.2850e+00]
2700 [1.4150e+00, 3.3571e+00]
2800 [1.3560e+00, 3.4314e+00]
2900 [1.3149e+00, 3.5064e+00]
3000 [1.3047e+00, 3.5812e+00]
3100 [1.2639e+00, 3.6588e+00]
3200 [1.2227e+00, 3.7385e+00]
3300 [1.1345e+00, 3.8256e+00]
3400 [1.0982e+00, 3.9142e+00]
3500 [1.0244e+00, 4.0116e+00]
3600 [9.1130e-01, 4.1126e+00]
3700 [8.8203e-01, 4.2191e+00]
3800 [8.3383e-01, 4.3270e+00]
3900 [7.9295e-01, 4.4355e+00]
4000 [7.0856e-01, 4.5507e+00]
4100 [5.9879e-01, 4.6731e+00]
4200 [5.8960e-01, 4.7997e+00]
4300 [5.3615e-01, 4.9252e+00]
4400 [5.0531e-01, 5.0548e+00]
4500 [4.2678e-01, 5.1962e+00]
4600 [3.8803e-01, 5.3366e+00]
4700 [3.5734e-01, 5.4771e+00]
4800 [3.0492e-01, 5.6240e+00]
4900 [2.7858e-01, 5.7802e+00]
5000 [2.2298e-01, 5.9271e+00]
5100 [2.2041e-01, 6.0686e+00]
5200 [1.8415e-01, 6.2160e+00]
5300 [1.5365e-01, 6.3681e+00]
5400 [1.5609e-01, 6.5089e+00]
5500 [1.3031e-01, 6.6614e+00]
5600 [1.0501e-01, 6.8137e+00]
5700 [9.9346e-02, 6.9520e+00]
5800 [8.0901e-02, 7.0878e+00]
5900 [4.7197e-02, 7.2157e+00]
6000 [5.5889e-02, 7.3532e+00]
6100 [6.7229e-02, 7.4750e+00]
6200 [6.2334e-02, 7.6023e+00]
6300 [4.7718e-02, 7.7178e+00]
6400 [5.6811e-02, 7.8354e+00]
6500 [5.7785e-02, 7.9574e+00]
6600 [5.1307e-02, 8.0714e+00]
6700 [4.9483e-02, 8.1899e+00]
6800 [4.5856e-02, 8.3172e+00]
6900 [4.5953e-02, 8.4270e+00]
7000 [3.5666e-02, 8.5417e+00]
7100 [4.1522e-02, 8.6574e+00]
7200 [4.3011e-02, 8.7727e+00]
7300 [3.0747e-02, 8.8770e+00]
7400 [2.7202e-02, 8.9795e+00]
7500 [2.5923e-02, 9.1019e+00]
7600 [3.3677e-02, 9.2275e+00]
7700 [3.6573e-02, 9.3306e+00]
7800 [3.4701e-02, 9.4510e+00]
7900 [1.8587e-02, 9.5734e+00]
8000 [3.0723e-02, 9.7080e+00]
8100 [3.1502e-02, 9.8174e+00]
8200 [3.0531e-02, 9.9354e+00]
8300 [3.0037e-02, 1.0070e+01]
8400 [2.9825e-02, 1.0196e+01]
8500 [8.9357e-03, 1.0304e+01]
8600 [5.0246e-03, 1.0433e+01]
8700 [1.6758e-02, 1.0599e+01]
8800 [2.1972e-02, 1.0763e+01]
8900 [1.7856e-02, 1.0916e+01]
9000 [1.5608e-02, 1.1067e+01]
9100 [1.5161e-02, 1.1193e+01]
9200 [1.4420e-02, 1.1311e+01]
9300 [1.3749e-02, 1.1456e+01]
9400 [1.0855e-02, 1.1562e+01]
9500 [1.2953e-02, 1.1686e+01]
9600 [3.6304e-03, 1.1799e+01]
9700 [9.8307e-03, 1.1925e+01]
9800 [9.8758e-03, 1.2048e+01]
9900 [1.1599e-02, 1.2171e+01]
10000 [9.5265e-03, 1.2271e+01]
10000 [9.5265e-03, 1.2271e+01]
10100 [8.4931e-03, 1.2348e+01]
10200 [2.2554e-02, 1.2435e+01]
10300 [2.9209e-02, 1.2524e+01]
