0 [1.0000e-01, 1.1000e+00]
100 [1.4285e-01, 1.2497e+00]
200 [3.3018e-01, 1.4055e+00]
300 [5.2739e-01, 1.5183e+00]
400 [6.5712e-01, 1.5922e+00]
500 [7.8442e-01, 1.6676e+00]
600 [8.9340e-01, 1.7312e+00]
700 [9.8440e-01, 1.7887e+00]
800 [1.0642e+00, 1.8417e+00]
900 [1.1365e+00, 1.8910e+00]
1000 [1.2025e+00, 1.9372e+00]
1100 [1.2632e+00, 1.9807e+00]
1200 [1.3185e+00, 2.0218e+00]
1300 [1.3699e+00, 2.0608e+00]
1400 [1.4165e+00, 2.0980e+00]
1500 [1.4589e+00, 2.1340e+00]
1600 [1.4947e+00, 2.1692e+00]
1700 [1.5241e+00, 2.2040e+00]
1800 [1.5493e+00, 2.2387e+00]
1900 [1.5739e+00, 2.2727e+00]
2000 [1.5954e+00, 2.3072e+00]
2100 [1.6144e+00, 2.3418e+00]
2200 [1.6255e+00, 2.3765e+00]
2300 [1.6435e+00, 2.4111e+00]
2400 [1.6585e+00, 2.4455e+00]
2500 [1.6707e+00, 2.4806e+00]
2600 [1.6746e+00, 2.5158e+00]
2700 [1.6865e+00, 2.5507e+00]
2800 [1.6907e+00, 2.5860e+00]
2900 [1.6846e+00, 2.6219e+00]
3000 [1.6885e+00, 2.6572e+00]
3100 [1.6659e+00, 2.6948e+00]
3200 [1.6527e+00, 2.7316e+00]
3300 [1.6348e+00, 2.7691e+00]
3400 [1.6124e+00, 2.8082e+00]
3500 [1.5994e+00, 2.8468e+00]
3600 [1.5768e+00, 2.8856e+00]
3700 [1.5261e+00, 2.9278e+00]
3800 [1.4861e+00, 2.9700e+00]
3900 [1.4569e+00, 3.0130e+00]
4000 [1.4260e+00, 3.0569e+00]
4100 [1.3972e+00, 3.1019e+00]
4200 [1.3593e+00, 3.1476e+00]
4300 [1.2724e+00, 3.2129e+00]
4400 [1.2190e+00, 3.2691e+00]
4500 [1.1751e+00, 3.3233e+00]
4600 [1.1433e+00, 3.3782e+00]
4700 [1.1121e+00, 3.4340e+00]
4800 [1.0779e+00, 3.4908e+00]
4900 [1.0379e+00, 3.5487e+00]
5000 [9.9383e-01, 3.6083e+00]
5100 [9.5022e-01, 3.6689e+00]
5200 [8.9458e-01, 3.7314e+00]
5300 [8.2870e-01, 3.7961e+00]
5400 [7.4997e-01, 3.8653e+00]
5500 [6.8119e-01, 3.9357e+00]
5600 [5.8171e-01, 4.0129e+00]
5700 [5.4823e-01, 4.0891e+00]
5800 [4.9476e-01, 4.1641e+00]
5900 [4.3535e-01, 4.2407e+00]
6000 [3.7803e-01, 4.3194e+00]
6100 [3.2453e-01, 4.3994e+00]
6200 [2.7965e-01, 4.4797e+00]
6300 [2.4278e-01, 4.5605e+00]
6400 [2.1306e-01, 4.6406e+00]
