0 [1.0000e-01, 1.1000e+00]
100 [1.2226e-01, 1.2414e+00]
200 [3.1965e-01, 1.4185e+00]
300 [4.9603e-01, 1.5582e+00]
400 [7.1635e-01, 1.6611e+00]
500 [8.7372e-01, 1.7411e+00]
600 [9.8692e-01, 1.8047e+00]
700 [1.0725e+00, 1.8583e+00]
800 [1.1444e+00, 1.9065e+00]
900 [1.2089e+00, 1.9512e+00]
1000 [1.2676e+00, 1.9937e+00]
1100 [1.3216e+00, 2.0397e+00]
1200 [1.3696e+00, 2.0794e+00]
1300 [1.4150e+00, 2.1171e+00]
1400 [1.4584e+00, 2.1542e+00]
1500 [1.4997e+00, 2.1907e+00]
1600 [1.5384e+00, 2.2267e+00]
1700 [1.5747e+00, 2.2624e+00]
1800 [1.6071e+00, 2.2981e+00]
1900 [1.6381e+00, 2.3335e+00]
2000 [1.6669e+00, 2.3687e+00]
2100 [1.6946e+00, 2.4035e+00]
2200 [1.7201e+00, 2.4384e+00]
2300 [1.7374e+00, 2.4733e+00]
2400 [1.7555e+00, 2.5083e+00]
2500 [1.7736e+00, 2.5430e+00]
2600 [1.7852e+00, 2.5779e+00]
2700 [1.7950e+00, 2.6136e+00]
2800 [1.8008e+00, 2.6494e+00]
2900 [1.7986e+00, 2.6857e+00]
3000 [1.7993e+00, 2.7224e+00]
3100 [1.7930e+00, 2.7598e+00]
3200 [1.7782e+00, 2.7983e+00]
3300 [1.7866e+00, 2.8357e+00]
3400 [1.7583e+00, 2.8774e+00]
3500 [1.7052e+00, 2.9180e+00]
3600 [1.7053e+00, 2.9581e+00]
3700 [1.6834e+00, 3.0049e+00]
3800 [1.6843e+00, 3.0425e+00]
3900 [1.6911e+00, 3.0829e+00]
4000 [1.6480e+00, 3.1325e+00]
4100 [1.6535e+00, 3.1728e+00]
4200 [1.6619e+00, 3.2157e+00]
4300 [1.6075e+00, 3.2635e+00]
4400 [1.5958e+00, 3.3093e+00]
4500 [1.6062e+00, 3.3543e+00]
4600 [1.5637e+00, 3.4060e+00]
4700 [1.5598e+00, 3.4494e+00]
4800 [1.5673e+00, 3.4961e+00]
4900 [1.5187e+00, 3.5459e+00]
5000 [1.5088e+00, 3.5929e+00]
5100 [1.4643e+00, 3.6433e+00]
5200 [1.4723e+00, 3.6922e+00]
5300 [1.4616e+00, 3.7429e+00]
5400 [1.3867e+00, 3.7995e+00]
5500 [1.3807e+00, 3.8490e+00]
5600 [1.3703e+00, 3.9047e+00]
5700 [1.3038e+00, 3.9679e+00]
5800 [1.2811e+00, 4.0192e+00]
5900 [1.2726e+00, 4.0734e+00]
6000 [1.2843e+00, 4.1300e+00]
6100 [1.2698e+00, 4.1867e+00]
6200 [1.2337e+00, 4.2455e+00]
6300 [1.1794e+00, 4.3083e+00]
6400 [1.1076e+00, 4.3790e+00]
6500 [1.0353e+00, 4.4490e+00]
6600 [9.5448e-01, 4.5351e+00]
6700 [9.2722e-01, 4.6029e+00]
6800 [9.1165e-01, 4.6690e+00]
6900 [9.1049e-01, 4.7370e+00]
7000 [9.1616e-01, 4.8050e+00]
7100 [8.6800e-01, 4.8746e+00]
7200 [8.2543e-01, 4.9448e+00]
7300 [7.5954e-01, 5.0228e+00]
7400 [6.9337e-01, 5.1081e+00]
7500 [6.1622e-01, 5.2007e+00]
7600 [6.0360e-01, 5.2852e+00]
7700 [5.2045e-01, 5.3827e+00]
7800 [4.8455e-01, 5.4846e+00]
7900 [4.7545e-01, 5.5682e+00]
8000 [4.6024e-01, 5.6482e+00]
8100 [4.4597e-01, 5.7292e+00]
8200 [4.2967e-01, 5.8101e+00]
8300 [3.6369e-01, 5.8979e+00]
8400 [3.0342e-01, 5.9960e+00]
8500 [2.4479e-01, 6.1015e+00]
8600 [2.2146e-01, 6.1967e+00]
8700 [2.1408e-01, 6.2907e+00]
8800 [1.8047e-01, 6.3880e+00]
8900 [1.5119e-01, 6.4858e+00]
9000 [1.5801e-01, 6.5803e+00]
9100 [1.4417e-01, 6.6680e+00]
9200 [1.4099e-01, 6.7579e+00]
9300 [1.2396e-01, 6.8434e+00]
9400 [1.1539e-01, 6.9327e+00]
9500 [1.0622e-01, 7.0175e+00]
9600 [9.0924e-02, 7.1074e+00]
9700 [8.1701e-02, 7.1905e+00]
9800 [7.8215e-02, 7.2709e+00]
9900 [7.4075e-02, 7.3509e+00]
10000 [7.4118e-02, 7.4281e+00]
10100 [6.8192e-02, 7.5001e+00]
10200 [4.3673e-02, 7.5723e+00]
10300 [5.5433e-02, 7.6464e+00]
10400 [4.6657e-02, 7.7150e+00]
10500 [4.2442e-02, 7.7812e+00]
10600 [2.8172e-02, 7.8550e+00]
10700 [7.0021e-02, 7.9475e+00]
10800 [7.8932e-02, 8.0333e+00]
10900 [7.8827e-02, 8.1173e+00]
11000 [7.6118e-02, 8.1986e+00]
11100 [7.7180e-02, 8.2755e+00]
