0 [1.0000e-01, 1.1000e+00]
100 [2.8796e-02, 1.3204e+00]
200 [6.3905e-02, 1.6832e+00]
300 [4.7188e-02, 1.8616e+00]
400 [5.1687e-02, 1.9446e+00]
500 [4.8930e-02, 1.9868e+00]
600 [5.0773e-02, 2.0081e+00]
700 [5.3694e-02, 2.0035e+00]
800 [5.5750e-02, 1.9789e+00]
900 [5.6394e-02, 1.9409e+00]
1000 [5.7440e-02, 1.8935e+00]
1100 [5.7442e-02, 1.8398e+00]
1200 [5.8699e-02, 1.7827e+00]
1300 [5.8999e-02, 1.7234e+00]
1400 [6.0283e-02, 1.6619e+00]
1500 [6.1575e-02, 1.5971e+00]
1600 [6.3059e-02, 1.5295e+00]
1700 [6.5964e-02, 1.4593e+00]
1800 [6.8541e-02, 1.3916e+00]
1900 [7.1031e-02, 1.3276e+00]
2000 [7.3086e-02, 1.2742e+00]
2100 [7.5345e-02, 1.2282e+00]
2200 [7.8088e-02, 1.1907e+00]
2300 [7.9574e-02, 1.1621e+00]
2400 [8.1121e-02, 1.1406e+00]
2500 [8.3155e-02, 1.1247e+00]
2600 [8.3464e-02, 1.1104e+00]
2700 [8.3620e-02, 1.0999e+00]
2800 [8.5028e-02, 1.0911e+00]
2900 [8.6539e-02, 1.0863e+00]
3000 [8.6188e-02, 1.0784e+00]
3100 [8.7291e-02, 1.0742e+00]
3200 [8.7241e-02, 1.0685e+00]
3300 [8.8268e-02, 1.0644e+00]
3400 [8.8531e-02, 1.0618e+00]
3500 [8.8973e-02, 1.0578e+00]
3600 [8.9172e-02, 1.0563e+00]
3700 [8.9773e-02, 1.0533e+00]
3800 [8.9746e-02, 1.0555e+00]
3900 [9.0077e-02, 1.0498e+00]
4000 [9.0950e-02, 1.0461e+00]
4100 [9.0662e-02, 1.0456e+00]
4200 [9.1183e-02, 1.0430e+00]
4300 [9.1067e-02, 1.0406e+00]
4400 [9.1139e-02, 1.0391e+00]
4500 [9.1842e-02, 1.0390e+00]
4600 [9.2206e-02, 1.0390e+00]
4700 [9.2218e-02, 1.0365e+00]
4800 [9.2599e-02, 1.0337e+00]
4900 [9.2517e-02, 1.0320e+00]
5000 [9.3053e-02, 1.0336e+00]
5100 [9.2469e-02, 1.0324e+00]
5200 [9.3374e-02, 1.0296e+00]
5300 [9.3405e-02, 1.0277e+00]
5400 [9.3993e-02, 1.0271e+00]
5500 [9.3765e-02, 1.0250e+00]
